Order_ID,Order_Date,Region,Product,Category,Unit_Price,Quantity,Revenue,Customer_ID
ORD-00093,2023-02-08,Middle East & Africa,Product J,Electronics,213.7,55,11753.37,CUST-0139
ORD-00094,2023-04-18,Europe,Product A,Services,868.18,28,24308.98,CUST-0466
ORD-00095,2022-12-01,Asia Pacific,Product G,Services,1516.42,54,94206.83,CUST-0084
ORD-00096,2023-04-27,North America,Product I,Electronics,2399.78,45,107990.29,CUST-0230
ORD-00097,2023-10-28,North America,Product A,Electronics,2282.09,26,59334.38,CUST-0860
ORD-00098,2022-01-21,Middle East & Africa,Product C,Software,296.13,86,25467.26,CUST-0118
ORD-00099,2023-08-01,Europe,Product H,Services,1700.0,22,37399.92,CUST-0621
ORD-00100,2023-09-14,North America,Product C,Services,312.95,4,1251.8,CUST-0952
ORD-00101,2022-11-16,Middle East & Africa,Product G,Hardware,1885.87,26,54681.08,CUST-0708
ORD-00102,2023-10-05,Europe,Product B,Services,1878.88,77,144673.68,CUST-0825
ORD-00103,2022-05-04,Middle East & Africa,Product A,Services,1088.85,85,92552.52,CUST-0380
ORD-00104,2022-03-12,Middle East & Africa,Product F,Electronics,1706.67,63,107520.37,CUST-0109
ORD-00105,2023-03-20,Asia Pacific,Product H,Software,899.2,94,84524.79,CUST-0535
ORD-00106,2023-10-29,Asia Pacific,Product J,Consulting,1560.55,60,93633.05,CUST-0447
ORD-00107,2023-08-30,Asia Pacific,Product F,Software,1669.93,12,20039.11,CUST-0286
ORD-00108,2023-04-07,Europe,Product H,Consulting,1364.16,49,66843.91,CUST-0345
ORD-00109,2022-01-30,Latin America,Product F,Software,1000.72,46,46033.23,CUST-0817
ORD-00110,2022-09-22,Asia Pacific,Product E,Consulting,1417.31,36,51023.1,CUST-0570
ORD-00111,2022-01-11,Middle East & Africa,Product D,Electronics,520.64,53,27594.15,CUST-0501
ORD-00112,2023-07-23,Europe,Product H,Hardware,1016.33,3,3049.0,CUST-0096
ORD-00113,2022-10-29,Europe,Product G,Software,711.81,75,53385.9,CUST-0378
ORD-00114,2023-04-30,Middle East & Africa,Product I,Services,879.73,96,84454.31,CUST-0564
ORD-00115,2022-12-05,Asia Pacific,Product H,Services,647.91,30,21850.24,CUST-0198
ORD-00116,2022-11-20,North America,Product I,Software,508.21,95,57782.89,CUST-0742
ORD-00117,2023-08-27,Middle East & Africa,Product J,Services,1962.0,25,49049.89,CUST-0304
ORD-00118,2022-08-21,Asia Pacific,Product C,Services,77.59,69,5353.66,CUST-0130
ORD-00119,2022-10-08,North America,Product A,Consulting,743.6,17,12641.2,CUST-0654
ORD-00120,2023-05-18,North America,Product A,Consulting,725.35,62,44971.95,CUST-0452
ORD-00121,2022-12-15,Europe,Product A,Services,2073.58,62,144351.71,CUST-0067
ORD-00122,2023-02-15,Latin America,Product B,Consulting,1277.42,7,8941.93,CUST-0156
ORD-00123,2022-06-02,Middle East & Africa,Product E,Electronics,1988.14,16,31810.25,CUST-0572
ORD-00124,2023-03-03,Middle East & Africa,Product J,Consulting,490.09,67,32836.02,CUST-0390
ORD-00125,2023-04-07,Latin America,Product E,Consulting,1980.56,40,79222.44,CUST-0583
ORD-00126,2023-09-28,North America,Product J,Electronics,2277.36,27,61488.75,CUST-0641
ORD-00127,2022-08-05,Asia Pacific,Product B,Software,517.74,71,36759.33,CUST-0077
ORD-00128,2022-06-10,North America,Product G,Hardware,1673.13,61,102060.84,CUST-0299
ORD-00129,2022-02-03,Europe,Product E,Services,1562.91,59,92211.59,CUST-0073
ORD-00130,2023-12-05,Europe,Product E,Consulting,1473.24,26,45391.52,CUST-0558
ORD-00131,2022-08-19,Europe,Product E,Software,208.17,22,4579.83,CUST-0812
ORD-00132,2022-11-11,Middle East & Africa,Product J,Services,906.35,60,67309.24,CUST-0717
ORD-00133,2023-02-17,Asia Pacific,Product I,Consulting,1012.9,11,11141.91,CUST-0613
ORD-00134,2022-02-10,Latin America,Product F,Consulting,538.22,12,6458.61,CUST-0235
ORD-00135,2023-11-22,Middle East & Africa,Product J,Electronics,1999.17,87,219893.75,CUST-0591
ORD-00136,2022-02-11,Europe,Product H,Consulting,1452.49,36,52289.56,CUST-0186
ORD-00137,2023-08-23,Latin America,Product H,Electronics,966.52,53,51225.57,CUST-0342
ORD-00138,2022-11-25,North America,Product C,Services,1023.25,64,75811.73,CUST-0968
ORD-00139,2023-02-15,Middle East & Africa,Product A,Hardware,221.72,33,7316.65,CUST-0332
ORD-00140,2022-04-29,Latin America,Product I,Electronics,1332.44,70,93270.64,CUST-0474
ORD-00141,2023-02-28,North America,Product D,Consulting,906.56,97,87936.68,CUST-0511
ORD-00142,2023-10-03,Latin America,Product A,Software,570.76,17,9702.91,CUST-0950
ORD-00143,2022-10-22,Latin America,Product H,Electronics,106.3,81,8609.93,CUST-0624
ORD-00144,2022-09-03,Europe,Product E,Consulting,84.33,53,4469.58,CUST-0096
ORD-00145,2022-08-19,North America,Product H,Electronics,1575.64,20,31512.81,CUST-0511
ORD-00146,2022-10-26,Middle East & Africa,Product E,Hardware,1677.71,61,102340.41,CUST-0250
ORD-00147,2023-04-13,Middle East & Africa,Product C,Hardware,421.69,77,32470.15,CUST-0521
ORD-00148,2022-05-20,North America,Product E,Hardware,855.31,65,55595.02,CUST-0274
ORD-00149,2022-01-03,Asia Pacific,Product E,Consulting,1180.85,85,100372.3,CUST-0502
ORD-00150,2022-06-02,Latin America,Product I,Hardware,722.99,71,51332.41,CUST-0782
ORD-00151,2023-07-11,Latin America,Product H,Services,1745.72,90,157115.1,CUST-0245
ORD-00152,2023-08-09,Latin America,Product D,Hardware,135.11,96,12970.77,CUST-0485
ORD-00153,2023-12-24,Latin America,Product G,Software,1015.89,5,5715.65,CUST-0989
ORD-00154,2023-08-28,Asia Pacific,Product B,Hardware,244.44,59,14421.83,CUST-0016
ORD-00155,2022-05-28,Latin America,Product C,Electronics,965.51,34,32827.23,CUST-0347
ORD-00156,2023-10-01,Latin America,Product B,Services,1712.07,69,118132.53,CUST-0390
ORD-00157,2022-11-21,Latin America,Product I,Electronics,1254.05,31,47670.3,CUST-0944
ORD-00158,2022-10-22,Europe,Product B,Hardware,2153.53,98,211046.37,CUST-0649
ORD-00159,2023-12-22,North America,Product H,Software,1683.96,4,7471.39,CUST-0816
ORD-00160,2022-02-27,Asia Pacific,Product F,Services,889.84,32,28474.86,CUST-0544
ORD-00161,2023-02-26,Middle East & Africa,Product C,Software,391.39,79,30919.43,CUST-0892
ORD-00162,2023-01-27,Middle East & Africa,Product D,Hardware,1830.02,19,34770.32,CUST-0238
ORD-00163,2023-04-18,Asia Pacific,Product H,Services,1350.34,60,81020.36,CUST-0923
ORD-00164,2022-10-22,Middle East & Africa,Product C,Electronics,911.37,45,41011.79,CUST-0602
ORD-00165,2022-11-03,Latin America,Product E,Hardware,1698.34,26,57398.45,CUST-0874
ORD-00166,2023-05-10,North America,Product D,Hardware,1398.3,74,103474.13,CUST-0303
ORD-00167,2023-12-18,Asia Pacific,Product A,Hardware,585.24,73,54386.04,CUST-0797
ORD-00168,2022-02-20,Middle East & Africa,Product H,Services,1562.69,30,46880.85,CUST-0622
ORD-00169,2022-12-27,Europe,Product D,Consulting,592.59,97,71517.86,CUST-0676
ORD-00170,2023-11-29,Europe,Product B,Electronics,717.66,57,45270.31,CUST-0374
ORD-00171,2022-05-15,North America,Product E,Services,1809.11,23,41609.42,CUST-0206
ORD-00172,2022-05-16,Middle East & Africa,Product F,Consulting,1028.5,35,35997.49,CUST-0851
ORD-00173,2022-06-18,Asia Pacific,Product H,Services,1505.79,44,66254.79,CUST-0824
ORD-00174,2022-04-28,Latin America,Product B,Software,1520.6,29,44097.27,CUST-0881
ORD-00175,2023-11-24,Latin America,Product I,Services,226.09,51,12715.78,CUST-0550
ORD-00176,2022-05-07,Latin America,Product F,Services,1189.89,82,97571.16,CUST-0963
ORD-00177,2023-01-16,North America,Product D,Hardware,118.56,72,8536.15,CUST-0336
ORD-00178,2023-09-17,Europe,Product B,Hardware,2005.64,39,78219.82,CUST-0665
ORD-00179,2023-02-23,North America,Product C,Electronics,2274.25,39,88695.83,CUST-0505
ORD-00180,2022-04-29,North America,Product D,Consulting,377.45,59,22269.78,CUST-0380
ORD-00181,2023-11-18,Middle East & Africa,Product G,Consulting,1497.42,20,38246.7,CUST-0671
ORD-00182,2022-04-12,Latin America,Product J,Hardware,1881.15,36,67721.53,CUST-0034
ORD-00183,2023-12-08,Asia Pacific,Product D,Hardware,917.16,31,36139.46,CUST-0102
ORD-00184,2023-12-04,Asia Pacific,Product I,Services,168.07,36,6885.37,CUST-0126
ORD-00185,2023-04-11,North America,Product D,Consulting,2332.36,7,16326.51,CUST-0806
ORD-00186,2022-12-08,Europe,Product C,Consulting,495.17,98,58757.62,CUST-0601
ORD-00187,2022-08-10,Europe,Product F,Software,1746.64,77,134491.35,CUST-0003
ORD-00188,2022-10-11,Europe,Product C,Consulting,592.65,23,13631.02,CUST-0113
ORD-00189,2023-11-08,North America,Product C,Electronics,898.29,31,33911.13,CUST-0017
ORD-00190,2022-06-28,Asia Pacific,Product A,Software,1496.35,68,101751.81,CUST-0117
ORD-00191,2022-03-07,Latin America,Product H,Services,1050.81,14,14711.4,CUST-0463
ORD-00192,2023-05-31,Europe,Product J,Electronics,1614.94,85,137269.58,CUST-0534
ORD-00193,2022-11-05,Latin America,Product A,Electronics,1997.24,52,123096.64,CUST-0111
ORD-00194,2023-05-18,Latin America,Product B,Electronics,678.12,19,12884.24,CUST-0068
ORD-00195,2022-05-10,Asia Pacific,Product J,Consulting,1119.3,42,47010.39,CUST-0391
ORD-00196,2023-09-04,Middle East & Africa,Product E,Hardware,1035.82,56,58006.18,CUST-0102
ORD-00197,2023-12-20,North America,Product I,Software,1066.36,30,37837.66,CUST-0848
ORD-00198,2023-04-10,Latin America,Product G,Electronics,659.47,41,27038.24,CUST-0682
ORD-00199,2022-09-19,Asia Pacific,Product C,Hardware,180.91,11,1990.01,CUST-0096
ORD-00200,2023-03-19,North America,Product F,Software,1361.91,76,103504.97,CUST-0980
ORD-00201,2023-07-30,Middle East & Africa,Product F,Electronics,851.08,86,73192.61,CUST-0964
ORD-00202,2023-03-10,North America,Product E,Consulting,791.13,14,11075.83,CUST-0592
ORD-00203,2023-06-04,Europe,Product C,Hardware,536.01,14,7504.07,CUST-0359
ORD-00204,2023-07-24,Asia Pacific,Product B,Services,1169.5,55,64322.23,CUST-0866
ORD-00205,2023-07-29,Middle East & Africa,Product J,Consulting,101.19,85,8601.57,CUST-0850
ORD-00206,2023-12-12,Asia Pacific,Product A,Software,582.88,98,66364.13,CUST-0348
ORD-00207,2022-12-26,North America,Product C,Software,1385.19,52,80235.39,CUST-0759
ORD-00208,2023-10-11,North America,Product B,Consulting,563.41,54,30424.19,CUST-0465
ORD-00209,2022-12-16,Europe,Product F,Services,1602.82,100,206488.76,CUST-0611
ORD-00210,2022-03-28,North America,Product C,Software,1825.38,7,12777.66,CUST-0691
ORD-00211,2022-03-25,Asia Pacific,Product H,Hardware,997.04,57,56831.3,CUST-0425
ORD-00212,2022-10-07,Europe,Product I,Electronics,795.4,15,11930.94,CUST-0291
ORD-00213,2023-11-26,Middle East & Africa,Product H,Consulting,1350.91,6,9273.48,CUST-0614
ORD-00214,2022-02-26,North America,Product D,Services,2272.06,99,224933.78,CUST-0141
ORD-00215,2022-09-19,Asia Pacific,Product F,Electronics,65.07,96,6247.04,CUST-0441
ORD-00216,2022-06-29,Europe,Product G,Consulting,1564.37,65,101684.37,CUST-0573
ORD-00217,2023-11-16,Asia Pacific,Product B,Hardware,1730.44,6,12326.73,CUST-0471
ORD-00218,2022-03-21,Asia Pacific,Product J,Hardware,1168.13,91,106299.77,CUST-0656
ORD-00219,2023-03-04,Asia Pacific,Product B,Hardware,90.67,42,3808.15,CUST-0176
ORD-00220,2023-09-25,Latin America,Product F,Electronics,901.59,14,12622.23,CUST-0250
ORD-00221,2023-03-23,Middle East & Africa,Product G,Consulting,203.36,40,8134.47,CUST-0764
ORD-00222,2022-12-14,Europe,Product F,Software,218.83,82,20148.03,CUST-0523
ORD-00223,2022-07-18,Asia Pacific,Product F,Software,510.72,19,9703.76,CUST-0263
ORD-00224,2022-07-22,Europe,Product J,Software,1685.66,84,141595.59,CUST-0078
ORD-00225,2022-07-01,Latin America,Product H,Consulting,1531.76,58,88842.11,CUST-0698
ORD-00226,2023-08-02,Middle East & Africa,Product F,Services,344.37,9,3099.3,CUST-0481
ORD-00227,2023-03-29,Asia Pacific,Product E,Consulting,159.54,65,10369.82,CUST-0076
ORD-00228,2022-11-14,Latin America,Product H,Electronics,160.94,37,6641.46,CUST-0885
ORD-00229,2022-04-03,Middle East & Africa,Product J,Consulting,799.74,75,59980.56,CUST-0568
ORD-00230,2022-02-12,Latin America,Product J,Software,676.98,61,41295.61,CUST-0514
ORD-00231,2022-06-04,North America,Product H,Electronics,1957.66,44,86137.14,CUST-0732
ORD-00232,2022-03-28,Middle East & Africa,Product C,Electronics,533.1,57,30386.71,CUST-0450
ORD-00233,2023-06-21,Middle East & Africa,Product J,Software,759.6,37,28105.24,CUST-0397
ORD-00234,2023-02-23,Asia Pacific,Product J,Electronics,1588.99,83,131886.38,CUST-0343
ORD-00235,2022-03-09,Asia Pacific,Product B,Consulting,1372.84,37,50795.07,CUST-0259
ORD-00236,2023-11-04,Middle East & Africa,Product C,Services,208.93,85,20037.17,CUST-0359
ORD-00237,2022-11-14,Latin America,Product C,Consulting,1432.23,11,18305.4,CUST-0386
ORD-00238,2023-10-21,Asia Pacific,Product C,Consulting,232.23,86,19972.06,CUST-0434
ORD-00239,2023-06-05,Asia Pacific,Product A,Services,652.29,28,18264.09,CUST-0350
ORD-00240,2023-05-13,Europe,Product D,Software,387.36,38,14719.58,CUST-0865
ORD-00241,2022-04-14,Middle East & Africa,Product I,Consulting,123.61,44,5438.73,CUST-0898
ORD-00242,2023-09-25,Europe,Product J,Hardware,385.87,24,9260.93,CUST-0852
ORD-00243,2023-12-11,Middle East & Africa,Product C,Hardware,135.2,47,7849.43,CUST-0244
ORD-00244,2023-03-31,Middle East & Africa,Product E,Hardware,506.31,31,15695.48,CUST-0317
ORD-00245,2023-04-26,Europe,Product F,Consulting,2166.62,60,129997.4,CUST-0788
ORD-00246,2022-10-16,Latin America,Product I,Consulting,866.39,21,18194.16,CUST-0837
ORD-00247,2022-07-24,Middle East & Africa,Product C,Services,151.75,62,9408.54,CUST-0896
ORD-00248,2023-01-16,Middle East & Africa,Product B,Consulting,1709.77,37,63261.63,CUST-0086
ORD-00249,2022-06-14,Asia Pacific,Product H,Consulting,337.33,56,18890.47,CUST-0094
ORD-00250,2022-08-16,Latin America,Product F,Electronics,859.05,51,43811.5,CUST-0515
ORD-00251,2023-01-18,Europe,Product G,Electronics,859.19,4,3436.75,CUST-0327
ORD-00252,2022-04-12,Asia Pacific,Product C,Software,124.69,61,7606.16,CUST-0713
ORD-00253,2022-05-23,Latin America,Product H,Consulting,60.24,11,662.64,CUST-0020
ORD-00254,2022-09-20,Europe,Product C,Consulting,2071.78,78,161599.2,CUST-0541
ORD-00255,2023-03-10,North America,Product E,Software,764.69,7,5352.86,CUST-0245
ORD-00256,2023-03-06,Middle East & Africa,Product H,Electronics,266.17,64,17035.07,CUST-0612
ORD-00257,2023-07-03,North America,Product I,Consulting,626.14,19,11896.57,CUST-0299
ORD-00258,2023-03-16,North America,Product J,Services,622.92,54,33637.7,CUST-0192
ORD-00259,2023-11-12,North America,Product I,Services,218.37,68,17949.88,CUST-0806
ORD-00260,2023-06-04,Middle East & Africa,Product A,Hardware,1753.0,6,10517.98,CUST-0651
ORD-00261,2023-02-01,Asia Pacific,Product E,Electronics,746.33,9,6717.0,CUST-0354
ORD-00262,2022-09-04,North America,Product J,Services,372.18,46,17120.21,CUST-0560
ORD-00263,2022-12-13,Europe,Product H,Hardware,1410.07,18,28239.77,CUST-0795
ORD-00264,2023-04-14,North America,Product E,Software,162.51,26,4225.17,CUST-0908
ORD-00265,2022-02-12,Asia Pacific,Product E,Consulting,826.54,70,57857.58,CUST-0485
ORD-00266,2022-09-17,North America,Product D,Services,895.32,100,89531.96,CUST-0049
ORD-00267,2023-11-03,Asia Pacific,Product E,Electronics,1608.72,56,115123.46,CUST-0762
ORD-00268,2023-03-27,Latin America,Product F,Software,1017.6,64,65126.16,CUST-0377
ORD-00269,2023-06-16,Asia Pacific,Product B,Hardware,203.91,78,15904.8,CUST-0843
ORD-00270,2022-07-04,Middle East & Africa,Product E,Services,250.07,42,10502.77,CUST-0677
ORD-00271,2022-10-30,Asia Pacific,Product H,Consulting,1449.44,22,31887.74,CUST-0707
ORD-00272,2023-03-31,Asia Pacific,Product H,Electronics,1467.29,46,67495.25,CUST-0630
ORD-00273,2023-03-22,Asia Pacific,Product A,Electronics,1358.81,52,70658.05,CUST-0373
ORD-00274,2023-06-10,Europe,Product A,Software,1875.4,87,163159.42,CUST-0801
ORD-00275,2023-03-25,North America,Product C,Electronics,612.23,83,50815.02,CUST-0376
ORD-00276,2023-01-06,Latin America,Product J,Electronics,1229.93,87,107004.34,CUST-0461
ORD-00277,2023-01-15,Asia Pacific,Product H,Electronics,1169.15,68,79502.03,CUST-0376
ORD-00278,2023-02-12,Asia Pacific,Product E,Software,1923.01,4,7692.06,CUST-0754
ORD-00279,2022-07-10,Latin America,Product I,Hardware,1831.41,16,29302.53,CUST-0269
ORD-00280,2022-09-24,Latin America,Product D,Consulting,606.87,63,38233.12,CUST-0205
ORD-00281,2022-05-06,Europe,Product B,Hardware,425.35,92,39132.01,CUST-0456
ORD-00282,2022-03-31,Asia Pacific,Product F,Electronics,1122.49,38,42654.79,CUST-0913
ORD-00283,2022-11-04,Europe,Product C,Services,1146.28,16,23788.11,CUST-0812
ORD-00284,2022-05-23,Europe,Product H,Electronics,829.12,74,61355.11,CUST-0378
ORD-00285,2023-04-24,Middle East & Africa,Product C,Consulting,1774.28,9,15968.53,CUST-0317
ORD-00286,2023-02-12,Latin America,Product I,Hardware,1549.87,74,114690.44,CUST-0076
ORD-00287,2022-05-09,Asia Pacific,Product B,Hardware,958.37,67,64211.11,CUST-0353
ORD-00288,2022-05-12,Middle East & Africa,Product J,Software,1547.17,17,26301.96,CUST-0444
ORD-00289,2023-05-30,North America,Product B,Consulting,418.06,22,9197.24,CUST-0166
ORD-00290,2022-11-27,Europe,Product F,Consulting,1974.62,11,24981.52,CUST-0651
ORD-00291,2023-07-19,Asia Pacific,Product C,Services,1248.14,12,14977.62,CUST-0515
ORD-00292,2023-10-19,Europe,Product J,Consulting,385.75,85,32788.47,CUST-0640
ORD-00293,2023-09-12,Asia Pacific,Product J,Electronics,1659.21,4,6636.84,CUST-0084
ORD-00294,2022-02-16,Middle East & Africa,Product E,Software,1545.57,54,83460.78,CUST-0633
ORD-00295,2023-10-17,North America,Product H,Consulting,737.83,39,28775.44,CUST-0495
ORD-00296,2022-09-08,Latin America,Product E,Hardware,192.3,8,1538.38,CUST-0162
ORD-00297,2023-03-27,Latin America,Product H,Hardware,447.84,78,34931.9,CUST-0148
ORD-00298,2022-11-17,Asia Pacific,Product F,Hardware,304.99,48,17611.52,CUST-0109
